avg_loss,backbone,clean_acc,clean_auc,kind,mean15_acc,mean15_auc,model,overall_acc,overall_auc,run,signals,signals_normalized,val_acc,val_auc
0.1815,ViT-B/32,,,train,,,base,,,base_train,none,,0.9037,0.9634
0.1768,ViT-B/32,,,train,,,concat,,,concat_train,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance",True,0.9,0.9622
0.3971,ViT-B/32,,,train,,,film,,,film_train,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance",True,0.9053,0.9685
,ViT-B/32,0.9063,0.9581,eval,0.8956,0.9524,base,0.8963,0.9528,base_eval,none,,,
,ViT-B/32,0.9017,0.9585,eval,0.8927,0.9539,concat,0.8933,0.9542,concat_eval,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance",True,,
,ViT-B/32,0.9033,0.9636,eval,0.8928,0.9569,film,0.8934,0.9562,film_eval,"laplacian_var,dct_low_energy,dct_high_energy,noise_variance",True,,
